Member_number,Date,itemDescription,itemAisle
1808,21-07-2015,tropical fruit,Produce
2552,01-05-2015,whole milk,Dairy
2300,19-09-2015,pip fruit,Produce
1187,12-12-2015,other vegetables,Produce
3037,02-01-2015,whole milk,Dairy
4941,14-02-2015,rolls/buns,Bakery
4501,05-08-2015,other vegetables,Produce
3803,23-12-2015,pot plants,Household Goods
2762,20-03-2015,whole milk,Dairy
4119,02-12-2015,tropical fruit,Produce
1340,24-02-2015,citrus fruit,Produce
2193,14-04-2015,beef,Fresh meat
1997,21-07-2015,frankfurter,Deli
4546,09-03-2015,chicken,Fresh meat
4736,21-07-2015,butter,Dairy
1959,30-03-2015,fruit/vegetable juice,Produce
1974,05-03-2015,packaged fruit/vegetables,Produce
2421,09-02-2015,chocolate,Dessert
1513,08-03-2015,specialty bar,Snacks
1905,07-07-2015,other vegetables,Produce
2810,09-08-2015,butter milk,Dairy
2867,11-12-2015,whole milk,Dairy
3962,18-09-2015,tropical fruit,Produce
1088,30-11-2015,tropical fruit,Produce
4976,17-07-2015,bottled water,Beverages
4056,06-12-2015,yogurt,Dairy
3611,13-02-2015,sausage,Fresh meat
1420,14-01-2015,other vegetables,Produce
4286,03-08-2015,brown bread,Bakery
4918,27-01-2015,yogurt,Dairy
4783,22-10-2015,hamburger meat,Fresh meat
3709,26-10-2015,root vegetables,Produce
4289,10-08-2015,pork,Fresh meat
1559,10-03-2015,beef,Fresh meat
2900,04-11-2015,pastry,Bakery
1905,21-02-2015,fruit/vegetable juice,Produce
3527,29-09-2015,canned beer,Alcohol
1495,01-09-2015,root vegetables,Produce
3558,04-03-2015,citrus fruit,Produce
3128,20-04-2015,sausage,Fresh meat
1863,08-04-2015,tropical fruit,Produce
3841,19-07-2015,berries,Produce
3903,10-06-2015,canned beer,Alcohol
2658,16-10-2015,butter milk,Dairy
4272,06-06-2015,coffee,Beverages
1120,26-09-2015,pastry,Bakery
2676,15-08-2015,rolls/buns,Bakery
